time	rating	timestamp	x
2.798	4	1590158170433.0	
3.895	74	1590158171530.0	
12.406	40	1590158180041.0	
12.94	35	1590158180575.0	
13.377	55	1590158181012.0	
14.316	11	1590158181951.0	
18.275	98	1590158185910.0	
19.062	86	1590158186697.0	
20.545	13	1590158188180.0	
22.359	10	1590158189994.0	
22.93	22	1590158190565.0	
25.345	32	1590158192980.0	
27.361	71	1590158194996.0	
34.172	78	1590158201807.0	
34.58	60	1590158202215.0	
34.991	88	1590158202626.0	
36.159	65	1590158203794.0	
36.651	41	1590158204286.0	
38.175	23	1590158205810.0	
42.606	14	1590158210241.0	
43.386	83	1590158211021.0	
50.188	21	1590158217823.0	
52.583	81	1590158220218.0	
55.698	75	1590158223333.0	
70.786	79	1590158238421.0	
