time	rating	timestamp	x
1.463	2	1590158169098.0	
13.126	19	1590158180761.0	
13.727	85	1590158181362.0	
14.086	99	1590158181721.0	
15.34	89	1590158182975.0	
15.363	6	1590158182998.0	
16.115	29	1590158183750.0	
22.501	65	1590158190136.0	
28.24	76	1590158195875.0	
29.462	44	1590158197097.0	
32.09	13	1590158199725.0	
35.272	94	1590158202907.0	
37.589	24	1590158205224.0	
41.043	43	1590158208678.0	
44.738	62	1590158212373.0	
46.643	48	1590158214278.0	
46.935	20	1590158214570.0	
48.511	90	1590158216146.0	
53.084	86	1590158220719.0	
58.156	34	1590158225791.0	
61.167	59	1590158228802.0	
62.413	80	1590158230048.0	
64.142	84	1590158231777.0	
65.761	41	1590158233396.0	
