time	rating	timestamp	x
1.278	21	1590158168913.0	
1.299	66	1590158168934.0	
10.737	56	1590158178372.0	
11.649	0	1590158179284.0	
12.322	10	1590158179957.0	
20.997	95	1590158188632.0	
21.005	91	1590158188640.0	
24.032	42	1590158191667.0	
24.662	32	1590158192297.0	
30.189	71	1590158197824.0	
38.909	39	1590158206544.0	
39.193	83	1590158206828.0	
40.23	22	1590158207865.0	
47.362	3	1590158214997.0	
47.526	98	1590158215161.0	
48.089	49	1590158215724.0	
48.583	80	1590158216218.0	
50.428	46	1590158218063.0	
55.499	29	1590158223134.0	
56.474	45	1590158224109.0	
57.628	51	1590158225263.0	
57.667	41	1590158225302.0	
64.333	53	1590158231968.0	
68.198	68	1590158235833.0	
