time	rating	timestamp	x
1.151	31	1590158168786.0	
2.147	9	1590158169782.0	
5.047	70	1590158172682.0	
6.554	79	1590158174189.0	
12.146	71	1590158179781.0	
18.86	23	1590158186495.0	
24.159	1	1590158191794.0	
30.092	84	1590158197727.0	
35.535	63	1590158203170.0	
38.465	58	1590158206100.0	
39.51	64	1590158207145.0	
39.958	17	1590158207593.0	
53.057	21	1590158220692.0	
55.079	87	1590158222714.0	
55.423	33	1590158223058.0	
56.604	12	1590158224239.0	
64.289	86	1590158231924.0	
67.083	4	1590158234718.0	
68.644	45	1590158236279.0	
70.439	18	1590158238074.0	
