time	rating	timestamp	x
1.396	35	1590158169031.0	
7.301	67	1590158174936.0	
8.474	85	1590158176109.0	
9.007	48	1590158176642.0	
12.498	10	1590158180133.0	
19.155	44	1590158186790.0	
27.273	43	1590158194908.0	
28.994	79	1590158196629.0	
31.741	96	1590158199376.0	
35.131	30	1590158202766.0	
38.908	38	1590158206543.0	
46.582	88	1590158214217.0	
48.481	74	1590158216116.0	
57.643	69	1590158225278.0	
59.663	14	1590158227298.0	
61.117	59	1590158228752.0	
63.188	89	1590158230823.0	
63.666	80	1590158231301.0	
67.028	70	1590158234663.0	
