time	rating	timestamp	x
3.794	1	1590158171429.0	
5.275	11	1590158172910.0	
13.497	60	1590158181132.0	
14.15	83	1590158181785.0	
23.495	88	1590158191130.0	
34.872	19	1590158202507.0	
38.577	87	1590158206212.0	
40.217	14	1590158207852.0	
45.257	27	1590158212892.0	
53.43	23	1590158221065.0	
54.106	93	1590158221741.0	
56.893	59	1590158224528.0	
58.953	66	1590158226588.0	
62.578	18	1590158230213.0	
64.245	92	1590158231880.0	
66.273	52	1590158233908.0	
66.424	94	1590158234059.0	
69.574	40	1590158237209.0	
70.855	39	1590158238490.0	
