time	rating	timestamp	x
2.742	19	1590158170377.0	
5.208	24	1590158172843.0	
7.931	23	1590158175566.0	
16.444	73	1590158184079.0	
19.95	29	1590158187585.0	
24.614	37	1590158192249.0	
29.599	72	1590158197234.0	
29.631	67	1590158197266.0	
30.836	62	1590158198471.0	
33.932	52	1590158201567.0	
43.52	85	1590158211155.0	
43.636	87	1590158211271.0	
49.323	70	1590158216958.0	
49.52	47	1590158217155.0	
51.068	59	1590158218703.0	
51.206	20	1590158218841.0	
51.939	15	1590158219574.0	
53.456	2	1590158221091.0	
59.171	27	1590158226806.0	
59.277	0	1590158226912.0	
62.354	56	1590158229989.0	
64.099	58	1590158231734.0	
65.909	60	1590158233544.0	
70.653	17	1590158238288.0	
