time	rating	timestamp	x
6.383	74	1590158174018.0	
7.03	67	1590158174665.0	
20.871	69	1590158188506.0	
24.504	48	1590158192139.0	
26.921	62	1590158194556.0	
29.708	55	1590158197343.0	
30.162	42	1590158197797.0	
30.482	14	1590158198117.0	
42.48	49	1590158210115.0	
42.955	78	1590158210590.0	
43.406	83	1590158211041.0	
44.109	47	1590158211744.0	
46.734	21	1590158214369.0	
50.104	22	1590158217739.0	
55.866	20	1590158223501.0	
56.758	72	1590158224393.0	
57.137	60	1590158224772.0	
57.7	99	1590158225335.0	
58.695	65	1590158226330.0	
59.183	18	1590158226818.0	
62.68	98	1590158230315.0	
64.955	1	1590158232590.0	
68.809	80	1590158236444.0	
